"","LN.me","LN.sd","SP.me","SP.sd"
"0",81.6027483140859,4.00538736746102,1.30928967845689,0.216488709006639
"0.5",81.6309338517214,3.9821104071069,1.31015543370406,0.21698381310209
"1",81.6591193893569,3.96145167597239,1.31102118895123,0.217234520542383
"1.5",81.7668149648151,3.95901235508626,1.3184716649517,0.216298791251741
"2",81.8745105402733,3.95261205651197,1.32592214095217,0.215317772934672
"2.5",81.7668149648151,3.97298562501827,1.3184716649517,0.214272993533068
"3",81.6591193893569,4.08180508869016,1.31102118895123,0.213779705291505
"3.5",81.6309338517214,4.21183003221836,1.31015543370406,0.213251486772867
"4",81.6027483140859,4.29128254686337,1.30928967845689,0.212908835270565
"4.5",81.5216060051265,4.30133322941057,1.31015543370406,0.211412216366586
"5",81.4404636961671,4.27690453925819,1.30928967845689,0.210162483908824
"5.5",81.4077494668332,4.25940139851195,1.30719687620606,0.209637796247222
"6",81.3750352374993,4.3009993188166,1.30510407395523,0.208665101402023
"6.5",81.1333132783058,4.40992245898758,1.30719687620606,0.207237228974791
"7",80.8915913191124,4.58197197166496,1.30928967845689,0.205837535315533
"7.5",80.8533460001608,4.69211523920271,1.31015543370406,0.205089332688426
"8",80.8915913191124,4.66208353479587,1.31102118895123,0.210232754007133
"8.5",81.1333132783058,4.63480350576867,1.31800162839674,0.213458327356628
"9",80.8915913191124,4.63768131420844,1.32498206784225,0.212086859636701
"9.5",80.8533460001608,4.65003844744881,1.31800162839674,0.211075543870005
"10",80.8915913191124,4.62667816893461,1.32498206784225,0.20986550093454
"10.5",81.1333132783058,4.6125336899227,1.32545210439721,0.208583671696692
"11",80.8915913191124,4.58518204358198,1.32498206784225,0.208369720958211
"11.5",80.8533460001608,4.56653878588956,1.31800162839674,0.207584293889206
"12",80.8151006812092,4.56663706505046,1.31102118895123,0.207036445156584
"12.5",80.8023070475787,4.69068436708956,1.31389324762422,0.205880714371083
"13",80.7895134139482,4.79161706782549,1.31102118895123,0.205221316367416
